Age,MonthlyIncome,DistanceFromHome,YearsAtCompany,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,NumCompaniesWorked,PercentSalaryHike,Attrition
25,61152,24,5,4,1,2,2,20,Yes
29,95709,8,1,1,1,4,3,18,Yes
45,107602,30,3,1,3,1,2,17,No
56,95914,2,4,1,1,3,3,19,Yes
56,121390,29,8,4,1,2,0,11,No
24,49995,28,0,1,4,2,3,25,Yes
23,90180,24,0,4,4,3,2,19,Yes
33,91317,21,5,2,1,4,1,21,No
29,95251,8,0,4,2,1,1,16,Yes
59,114325,28,13,4,2,3,3,10,No
43,82031,3,5,4,3,3,2,15,Yes
36,66016,9,0,1,3,4,4,18,Yes
54,119632,29,8,1,4,4,2,17,No
42,87615,29,8,1,2,4,4,24,No
53,126920,14,8,2,4,2,2,24,Yes
54,132012,1,6,2,3,3,3,14,No
46,108975,11,4,1,4,2,1,22,No
21,34025,3,0,1,4,4,1,21,No
53,108890,8,10,1,4,3,3,19,No
34,101662,11,1,1,2,4,1,23,No
51,83176,17,8,2,3,3,1,18,No
51,124188,13,7,4,1,4,3,15,Yes
26,91775,17,6,3,3,3,0,16,No
34,91975,30,2,4,4,4,1,18,No
50,113082,15,2,3,3,3,2,25,No
41,84160,22,10,3,4,4,0,18,Yes
28,53904,20,3,4,3,2,3,20,No
39,95476,8,3,1,1,2,1,13,No
53,116361,6,7,2,3,1,4,24,Yes
41,112562,1,8,3,3,2,3,14,No
59,115059,9,11,1,3,1,1,13,No
58,116788,5,10,4,3,1,2,21,No
47,100638,20,8,3,4,3,3,10,No
23,59166,30,0,1,1,1,1,23,Yes
52,106988,23,9,3,3,1,2,10,Yes
21,62983,29,1,2,4,2,3,21,Yes
32,72705,3,1,2,4,2,2,11,No
37,76295,5,5,3,3,4,2,25,No
42,94884,8,6,4,3,2,3,20,No
42,78038,23,7,1,4,3,5,12,No
30,64684,15,1,3,4,1,3,17,No
49,98836,14,0,2,1,2,3,11,Yes
41,88396,30,2,4,2,3,2,17,No
59,119262,21,10,2,1,2,3,23,No
26,66654,11,0,1,1,4,0,14,Yes
34,71551,17,0,4,3,4,3,19,No
47,91055,22,7,1,1,3,4,11,No
55,102096,16,5,2,3,1,2,14,No
28,60880,1,0,2,3,4,2,15,No
44,103209,4,5,4,4,4,3,17,No
25,50892,25,3,1,2,4,4,18,No
31,47009,14,2,4,2,1,0,20,Yes
44,104091,13,0,1,1,3,3,13,No
53,118579,27,8,4,2,3,1,18,No
25,69558,3,4,3,4,2,5,25,Yes
57,97116,18,10,2,4,4,2,11,No
43,98642,8,5,1,1,1,3,18,Yes
